node,y_coordinate,z_coordinate,pred_p,pred_w,pred_v,pred_u,target_p,target_w,target_v,target_u
0,1.347111479e-18,-0.011,6317.407,-0.00057411194,0.010233879,-0.045776974,6287.958,4.7683716e-07,-2.3841858e-07,0.0
1,-0.0007020080572,-0.01097418042,6332.751,0.011677742,-0.0017054081,-0.013590427,6356.7744,4.7683716e-07,-2.3841858e-07,0.0
2,0.0007020940966,-0.01097417766,6552.372,-0.0013346672,0.012917519,-0.019891523,6573.157,4.7683716e-07,-2.3841858e-07,0.0
3,-0.0008037772178,-0.0109705815,6356.7197,-0.0006322861,0.014870882,-0.068394415,6358.374,4.7683716e-07,-2.3841858e-07,0.0
4,0.0008037686805,-0.01097058254,6575.9697,0.0022120476,0.011790037,-0.054244798,6595.552,4.7683716e-07,-2.3841858e-07,0.0
5,0.0008702450289,-0.01096398472,6594.87,0.0065193176,0.0064690113,-0.026297951,6631.005,4.7683716e-07,-2.3841858e-07,0.0
6,-0.0008764127103,-0.010963338,6361.1533,0.0016245842,0.014676571,-0.024748871,6407.175,4.7683716e-07,-2.3841858e-07,0.0
7,3.045326234e-08,-0.01095420206,6296.091,0.020148754,-0.4034803,2.2683058,6287.5303,0.0010790825,-0.39243758,2.214148
8,-0.0007005100895,-0.01092872969,6354.2725,0.047636986,-0.32892346,2.3115973,6341.5576,0.02532816,-0.3167162,2.1659772
9,0.0007013256775,-0.01092826385,6537.868,-0.041218758,-0.46777833,2.3282766,6573.714,-0.026544094,-0.45406473,2.2032864
10,-0.0008009994992,-0.01092521616,6371.411,0.033693314,-0.28366423,2.0999436,6341.2354,0.028433323,-0.2971648,2.1525352
11,0.0008014868263,-0.01092470347,6562.823,-0.03336191,-0.47433746,2.1823616,6595.378,-0.03090763,-0.46300328,2.1973145
12,-0.0008725463619,-0.01091811595,6388.214,0.03771019,-0.27706897,2.1536996,6391.5146,0.026097775,-0.26637495,2.1278589
13,0.0008667728796,-0.01091821772,6584.0596,-0.030211449,-0.4872042,2.2432683,6631.38,-0.035841465,-0.47859502,2.1873515
14,5.36107573e-08,-0.01089932359,6279.62,0.0040163994,-0.64330363,3.8332288,6285.6807,0.002673626,-0.61764777,3.8416505
15,-0.001573688681,-0.01088618161,6781.001,0.013547897,0.016537428,-0.025204385,6771.831,4.7683716e-07,-2.3841858e-07,0.0
16,0.001588150395,-0.01088372676,7077.2803,-1.04904175e-05,0.00918889,-0.04385014,7072.454,4.7683716e-07,-2.3841858e-07,0.0
17,-0.0006988279626,-0.01087426322,6283.7256,0.054938793,-0.64080083,3.8272192,6342.132,0.05167675,-0.62314487,3.791327
18,0.000700337103,-0.01087325067,6569.8916,-0.03739786,-0.605201,3.8054898,6574.3506,-0.032016277,-0.5846058,3.7564917
19,-0.0007976894628,-0.01087085393,6308.948,0.05828762,-0.62937725,3.8104503,6342.376,0.059102535,-0.61552346,3.7844112
20,0.0007987364547,-0.01086973112,6630.007,-0.03461647,-0.5966661,3.7793376,6596.122,-0.037477016,-0.58213603,3.7443457
21,-0.0008678727426,-0.01086392967,6321.089,0.06442499,-0.6264608,3.8121114,6392.6475,0.06325388,-0.59746397,3.7590942
22,0.0008626413336,-0.01086337481,6661.2354,-0.034433365,-0.60231936,3.7889729,6631.3857,-0.041189194,-0.58776784,3.7196548
23,-0.0018422917,-0.0108417049,7216.8115,0.0029559135,0.025451899,-0.05846354,7377.1865,4.7683716e-07,-2.3841858e-07,0.0
24,-0.001569339165,-0.01084141454,6815.421,0.026574135,-0.09496331,1.8648863,6761.2686,0.023486137,-0.0856874,1.8303463
25,0.001854644739,-0.01084054823,7285.1943,0.0065784454,-0.0042488575,-0.043995176,7320.003,4.7683716e-07,-2.3841858e-07,0.0
26,0.001578679153,-0.01083871159,6991.87,-0.052731037,-0.5598904,2.001002,7080.3643,-0.073774815,-0.5533714,1.950925
27,6.150704927e-08,-0.01083368905,6251.0986,0.011867523,-0.766394,4.180705,6278.577,0.0019803047,-0.73923373,4.175306
28,-0.0006967765899,-0.0108090892,6298.042,0.07438278,-0.79116154,4.1713395,6335.374,0.067139626,-0.7663832,4.150142
29,0.0006991384583,-0.01080745482,6540.161,-0.046610832,-0.70423555,4.100016,6569.0693,-0.03985548,-0.6783984,4.0868692
30,-0.0007937465364,-0.01080579672,6330.079,0.08383417,-0.77938116,4.135035,6336.032,0.07683277,-0.76270807,4.1482887
31,0.0007954287258,-0.01080398439,6606.132,-0.043201447,-0.6938245,4.0836368,6590.841,-0.046179295,-0.672299,4.0761533
32,-0.0008623509698,-0.01079907096,6358.175,0.09259653,-0.77988505,4.131419,6387.034,0.0838995,-0.74905396,4.1289654
33,-0.001834305539,-0.01079767747,7247.9814,-0.014239788,0.03021574,1.6094787,7326.1045,-0.031306267,0.08070493,1.5842018
34,0.0008576929282,-0.01079777998,6644.4326,-0.04284668,-0.6925192,4.081914,6625.3877,-0.049054623,-0.67317533,4.053063
35,0.001846211,-0.01079527649,7229.1064,-0.102648735,-0.6512908,1.8905338,7268.0635,-0.13399744,-0.7018032,1.7950128
36,-0.001564117209,-0.01078777232,6770.409,0.12809801,-0.52419126,3.5573323,6767.9287,0.12015343,-0.5096414,3.519464
37,0.001569035615,-0.01078456816,7085.823,-0.10090208,-0.58883214,3.4822311,7079.468,-0.066141605,-0.56270814,3.3958375
38,-0.002287059578,-0.01075929823,7911.036,-0.011249542,0.02425003,-0.022096852,7828.1943,4.7683716e-07,-2.3841858e-07,0.0
39,4.465443976e-08,-0.01075509036,6269.6943,0.005414486,-0.83126056,4.2724996,6263.378,-0.0022206306,-0.82303905,4.2746863
40,-0.001825013312,-0.01074487587,7230.675,0.11510277,-0.4069053,3.340645,7337.302,0.09336567,-0.38614953,3.2768304
41,0.002356315858,-0.01074246017,7758.366,-0.003587246,-0.0015785694,-0.059552144,7766.6084,4.7683716e-07,-2.3841858e-07,0.0
42,0.001836800737,-0.01074103147,7272.8467,-0.13054991,-0.6792542,3.1999216,7271.5244,-0.119259834,-0.6616534,3.1541913
