node,y_coordinate,z_coordinate,pred_p,pred_w,pred_v,pred_u,target_p,target_w,target_v,target_u
0,1.347111479e-18,-0.011,7847.8994,-0.004289627,-0.002752304,-0.0050332667,7779.1943,4.7683716e-07,-2.3841858e-07,0.0
1,-0.0007020080572,-0.01097418042,7862.505,0.0075149536,-0.018788815,0.029457873,7865.755,4.7683716e-07,-2.3841858e-07,0.0
2,0.0007020940966,-0.01097417766,8150.0713,-0.0023832321,0.003925562,0.027844824,8134.548,4.7683716e-07,-2.3841858e-07,0.0
3,-0.0008037772178,-0.0109705815,7894.669,-0.0067181587,-0.00046539307,-0.031691328,7867.9307,4.7683716e-07,-2.3841858e-07,0.0
4,0.0008037686805,-0.01097058254,8180.956,0.0017552376,0.0034542084,-0.01063896,8162.382,4.7683716e-07,-2.3841858e-07,0.0
5,0.0008702450289,-0.01096398472,8204.825,0.0066370964,-0.002033472,0.020297404,8206.216,4.7683716e-07,-2.3841858e-07,0.0
6,-0.0008764127103,-0.010963338,7902.087,-0.004225254,-0.00089740753,0.017297408,7929.884,4.7683716e-07,-2.3841858e-07,0.0
7,3.045326234e-08,-0.01095420206,7800.093,0.020673275,-0.46931362,2.5849793,7778.788,0.0009860992,-0.4688605,2.583664
8,-0.0007005100895,-0.01092872969,7874.5264,0.050457954,-0.38865316,2.6349049,7846.6807,0.030895233,-0.38828552,2.5205274
9,0.0007013256775,-0.01092826385,8095.7686,-0.04551506,-0.5378244,2.6539485,8135.6787,-0.03173113,-0.5294535,2.5813463
10,-0.0008009994992,-0.01092521616,7897.921,0.034252644,-0.33800113,2.398075,7846.464,0.034726143,-0.3666519,2.5042844
11,0.0008014868263,-0.01092470347,8126.3564,-0.036637306,-0.54428196,2.4900672,8162.6396,-0.03688526,-0.5384015,2.5762284
12,-0.0008725463619,-0.01091811595,7920.7607,0.038911343,-0.33068776,2.458607,7910.2744,0.03220415,-0.3314513,2.4758754
13,0.0008667728796,-0.01091821772,8151.8213,-0.03303957,-0.558151,2.557551,8207.112,-0.04206276,-0.5549507,2.5659413
14,5.36107573e-08,-0.01089932359,7781.0674,0.0010128021,-0.7363931,4.3264747,7775.9756,0.0018558502,-0.7329501,4.37957
15,-0.001573688681,-0.01088618161,8433.036,0.011726856,0.00031757355,0.019038951,8393.991,4.7683716e-07,-2.3841858e-07,0.0
16,0.001588150395,-0.01088372676,8814.007,-0.0023245811,0.006542444,0.0005933817,8751.812,4.7683716e-07,-2.3841858e-07,0.0
